Employee Department;Total Actions;Top 3 Operations
Департамент клиентского опыта и развития эффективности малого и микробизнеса, Дирекция развития эффективности ММБ, Отдел информационной поддержки и сопровождения;30667;status (10601), assignee (4967), resolution (3207)
Департамент по развитию клиентской базы ЮЛ, Дирекция по развитию CRM продаж и коммуникациям с ЮЛ и ИП, Управление по развитию CRM продаж и коммуникациям с средним бизнесом;5868;Attachment (1133), status (983), Link (758)
Департамент по развитию клиентской базы ЮЛ, Дирекция по развитию CRM продаж и коммуникациям с ЮЛ и ИП, Управление по развитию CRM продаж и коммуникациям с малым и микро бизнесом, Отдел по развитию CRM продаж и коммуникациям с клиентами ММБ;4196;Attachment (915), Link (853), RemoteIssueLink (421)
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса;4071;status (1293), assignee (1214), Attachment (1174)
Департамент по управлению эффективностью и реализации проектов информационных технологий, Дирекция информационных технологий в г. Екатеринбурге, Отдел сопровождения и интеграции центральных банковских систем;3379;Ссылка на Базу знаний (1288), Количество статей (333), Объем (237)
Департамент по развитию клиентской базы ЮЛ, Дирекция развития жизненного цикла и персонализации;2206;status (1352), assignee (786), resolution (35)
Цифровой офис корпоративного бизнеса, Дирекция развития цифровых продаж среднего бизнеса, Управление развития цифровых продаж;1271;Attachment (208), Link (184), summary (181)
Департамент развития кредитования малого бизнеса, Дирекция развития кредитных продуктов, Управление развития оборотного кредитования и комиссионных решений;1215;Attachment (252), Текст рассылки или сам макет (207), Link (116)
Департамент по развитию клиентской базы ЮЛ, Управление развития активации и удержания;1198;Attachment (445), Link (411), Текст рассылки или сам макет (70)
Департамент развития программы лояльности и нефинансовых сервисов, Дирекция развития бизнеса с партнерами, Управление по работе с партнерами;1144;Attachment (598), Link (208), status (149)
Дирекция по развитию CRM продаж и коммуникациям с корпоративными клиентами, Управление развития отношений с клиентами среднего и крупного бизнеса;958;Attachment (560), status (113), Link (84)
Департамент развития партнерских продаж и микробизнеса, Управление по технологиям и платформам продаж микробизнеса, Отдел развития технологий продаж;849;Link (349), Описание проекта/задачи бизнеса (145), summary (107)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития нефинансовых продуктов и сервисов;784;Attachment (221), Текст рассылки или сам макет (78), Link (67)
Департамент по развитию клиентской базы ЮЛ, Дирекция развития жизненного цикла и персонализации, Отдел развития вторичных цифровых продаж;774;status (399), assignee (325), Link (17)
Департамент развития цифровых каналов юридических лиц, Дирекция развития цифровых сервисов;749;Attachment (385), Link (90), RemoteIssueLink (45)
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса;737;Attachment (583), description (46), Link (39)
Департамент бизнес-маркетинга, Дирекция бизнес-маркетинга малого и микробизнеса, Отдел маркетинга продуктовой фабрики;646;status (210), Link (157), Attachment (135)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития программы лояльности, Управление интеграции партнерских сервисов;630;assignee (140), labels (118), status (100)
Цифровой офис корпоративного бизнеса, Управление развития цифровых каналов крупного бизнеса;617;description (137), assignee (133), Attachment (98)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития нефинансовых продуктов и сервисов, Управление развития сервисов и технологий на основе искусственного интеллекта;608;Link (99), Текст рассылки или сам макет (87), Attachment (66)
Дирекция по развитию CRM продаж и коммуникациям с корпоративными клиентами, Управление развития отношений с клиентами малого бизнеса, Отдел развития отношений с юридическими лицами;591;Link (179), RemoteIssueLink (165), Attachment (127)
Департамент разработки цифровых сервисов, Дирекция разработки онлайн каналов юридических лиц;575;Attachment (195), RemoteIssueLink (125), Link (92)
Департамент по развитию клиентской базы ЮЛ, Отдел развития растранзачивания клиентов;456;status (336), assignee (63), Способ уведомления клиентов (15)
Департамент развития цифровых каналов юридических лиц, Дирекция развития Альфа Бизнес и платформы продаж;411;Link (108), Attachment (100), description (71)
Департамент развития кредитования малого бизнеса, Дирекция развития кредитных продуктов, Управление развития оборотного кредитования и комиссионных решений, Отдел развития оборотных продуктов;403;Attachment (310), assignee (28), description (15)
Департамент развития цифровых каналов юридических лиц, Дирекция развития мобильных приложений;383;Attachment (146), Описание проекта/задачи бизнеса (38), Текст рассылки или сам макет (34)
Департамент развития кредитования малого бизнеса, Дирекция развития кредитных продуктов, Управление развития срочного кредитования и ценообразования, Отдел развития специализированных проектов;377;Attachment (360), summary (8), Comment (2)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития прайсинга, Управление тарификации и комплексных предложений;367;Attachment (254), assignee (21), Текст рассылки или сам макет (16)
Цифровой офис корпоративного бизнеса, Дирекция развития цифровых продаж среднего бизнеса;356;Link (94), Attachment (45), summary (43)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития программы лояльности, Управление развития корпоративной программы лояльности;345;Attachment (140), description (69), Link (39)
Дирекция развития процессов привлечения и обслуживания зарплатных проектов;326;Attachment (154), description (19), Link (16)
Департамент развития кредитования малого бизнеса, Дирекция развития кредитных продуктов, Управление развития срочного кредитования и ценообразования, Отдел срочного кредитования;325;Attachment (283), description (13), status (7)
Департамент по развитию клиентской базы ЮЛ, Дирекция по развитию CRM продаж и коммуникациям с ЮЛ и ИП, Управление по развитию CRM продаж и коммуникациям с малым и микро бизнесом, Отдел по развитию CRM продаж и коммуникациям с проспектами ММБ;322;Link (87), RemoteIssueLink (87), status (32)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов;313;Attachment (167), description (61), assignee (17)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития и продвижения продуктов и сервисов ВЭД, Отдел развития бизнеса ВЭД;312;Attachment (92), description (27), Текст рассылки или сам макет (27)
Департамент технологического развития малого и микробизнеса, Дирекция технологического развития расчетных продуктов;311;Attachment (126), RemoteIssueLink (62), Link (47)
Департамент онлайн-продаж, Дирекция развития и оптимизации онлайн-трафика, Управление развития реферальной программы;302;Attachment (62), assignee (56), Текст рассылки или сам макет (47)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция сегментированных предложений и инноваций, Управление внедрения отраслевых предложений;294;Текст рассылки или сам макет (73), Attachment (56), assignee (41)
Департамент по развитию клиентской базы ЮЛ, Управление развития активации и удержания, Отдел по развитию удержания клиентов;287;Attachment (52), Текст рассылки или сам макет (36), assignee (35)
Департамент развития цифровых каналов юридических лиц, Управление продуктового дизайна юридических лиц;286;Attachment (67), assignee (56), Описание проекта/задачи бизнеса (54)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития накопительных продуктов;276;Attachment (258), status (4), Оценка выполнения (3)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития прайсинга, Управление тарификации и комплексных предложений, Отдел тарификации;271;Attachment (239), assignee (10), description (6)
Департамент бизнес-маркетинга, Управление бизнес-маркетинга крупного и среднего бизнеса, Отдел маркетинга цифровых сервисов корпоративного бизнеса;267;Attachment (97), status (73), assignee (50)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития торгового эквайринга, Отдел развития процессов в цифровых каналах;266;Attachment (109), Link (47), RemoteIssueLink (19)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция сегментированных предложений и инноваций, Управление разработки отраслевых предложений;248;Attachment (202), status (9), Оценка выполнения (9)
Департамент развития эквайринга и платежных сервисов, Дирекция развития торгового эквайринга и сервиса, Управление развития процессов сопровождения торгового эквайринга;235;Attachment (176), description (23), summary (16)
Дирекция развития сайта и платформы первичных продаж;233;Link (118), Attachment (31), status (23)
Департамент разработки и развития расчетных продуктов корпоративного бизнеса, Дирекция развития расчетных продуктов, Отдел разработки и развития платежных инструментов;228;Attachment (150), Link (22), Rank (11)
Департамент технологического развития малого и микробизнеса, Управление технологического развития кроссблочных процессов;226;Attachment (135), description (55), Link (18)
Департамент продаж и развития малого и микробизнеса, Дирекция по развитию прямых продаж;226;Attachment (217), description (3), Comment (2)
