Employee Department;Field;Count
Департамент CRM, персонализации и платформенных решений, Дирекция CRM аналитики, Управление CRM аналитики юридический лиц;Attachment;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Attachment;10
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Описание проекта/задачи бизнеса;10
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;assignee;9
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;summary;3
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Критерии отбора целевой аудитории;2
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Охват клиентов в разрезе сегментов;2
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;resolution;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;status;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Куда мы ведем клиента из рассылки/баннера;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Разделение целевой аудитории по каналам;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития кредитных и транзакционных CRM продаж, Отдел развития транзакционных продуктов;Целевая аудитория;1
Департамент CRM, персонализации и платформенных решений, Дирекция развития розничных CRM продаж, Управление развития некредитных и партнерских CRM продаж, Отдел развития партнерских программ;assignee;1
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Отдел реализации целевых кампаний ММБ;Attachment;30
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Отдел реализации целевых кампаний ММБ;Link;22
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Отдел реализации целевых кампаний ММБ;assignee;7
Департамент CRM, персонализации и платформенных решений, Дирекция реализации CRM кампаний, Отдел реализации целевых кампаний ММБ;resolution;7
