Issue Key;Created Date;Коммуникация направлена;Новая;Отклонен;Размещено в БЗ;Согласовано ЦПК;Согласовано с бизнесом;Согласовано с маркетингом;ХОЛД;Resolution Date;T2M (days)
CAMPEIGN-14921;2023-04-07 11:53:34;83.1412;11.1978;0.0;0.1873;846.9478;0.6353;7.9203;0.0;2025-11-12 12:36:09;950.0295717592593
CAMPEIGN-23639;2024-04-08 14:12:46;0.0;3.7396;63.1741;0.0108;515.8037;0.1437;0.061;0.0;2025-11-12 12:36:05;582.9328587962963
CAMPEIGN-23642;2024-04-08 14:22:30;0.0;3.7348;63.1742;0.0821;491.9372;19.9747;4.0232;0.0;2025-11-12 12:36:04;582.9260879629629
CAMPEIGN-27068;2024-08-12 11:24:54;68.973;2.1829;0.0;0.0092;288.1642;88.137;0.7004;8.8828;2025-11-12 12:36:04;457.0494212962963
CAMPEIGN-29020;2024-09-24 10:24:19;81.9162;0.1166;0.0;0.0096;324.0607;6.0324;1.0253;0.9306;2025-11-12 12:36:03;414.0914814814815
CAMPEIGN-30639;2024-11-18 08:03:54;83.1378;2.2992;0.0;0.012;157.0916;0.5955;2.8104;113.2423;2025-11-12 12:36:03;359.18899305555556
CAMPEIGN-30806;2024-11-22 10:48:35;81.9169;3.1082;0.0;2.9912;264.097;0.6958;0.0446;2.221;2025-11-12 12:36:02;355.07461805555556
CAMPEIGN-31191;2024-12-04 05:53:05;81.9177;13.3858;0.0;0.2213;247.0641;0.6856;0.0053;0.0;2025-11-12 12:36:01;343.2798148148148
CAMPEIGN-32409;2025-01-29 13:43:51;68.9143;4.9335;0.0;0.0262;197.1205;12.0907;0.0832;3.7845;2025-11-12 12:36:01;286.9528935185185
CAMPEIGN-32975;2025-02-14 14:03:53;81.9174;3.0151;0.0;0.1491;185.1191;0.7167;0.0216;0.0;2025-11-12 12:36:00;270.9389699074074
CAMPEIGN-33483;2025-03-04 15:15:33;83.1387;2.0887;0.0;0.0983;118.9512;7.0298;2.9813;38.6012;2025-11-12 12:35:59;252.8891898148148
CAMPEIGN-33493;2025-03-05 06:27:00;48.2648;2.0727;0.0;0.0354;159.8914;35.1003;0.8893;6.0024;2025-11-12 12:35:59;252.25623842592591
CAMPEIGN-33599;2025-03-10 06:11:03;0.0;8.4759;79.1405;0.0;0.0;0.5641;0.0;159.0868;2025-11-12 12:35:58;247.26730324074074
CAMPEIGN-33711;2025-03-12 14:24:35;51.1265;5.9277;0.0;0.0416;181.9366;0.0038;0.0341;5.8544;2025-11-12 12:35:58;244.92457175925927
CAMPEIGN-33713;2025-03-12 14:32:11;83.1381;5.9234;0.0;0.0526;142.9953;6.9319;0.0113;5.8666;2025-11-12 12:35:56;244.91927083333334
CAMPEIGN-33770;2025-03-14 04:18:19;81.9177;4.4705;0.0;0.0024;156.9463;0.006;0.0026;0.0;2025-11-12 12:35:55;243.34555555555556
CAMPEIGN-33773;2025-03-14 07:14:53;51.1261;5.4021;0.0;0.0458;175.0072;6.9319;0.0178;4.6919;2025-11-12 12:35:55;243.22293981481482
CAMPEIGN-34034;2025-03-24 13:48:18;6.216;0.0745;0.0;0.6767;223.0017;2.0019;0.9788;0.0;2025-11-12 12:35:54;232.94972222222222
CAMPEIGN-34035;2025-03-24 13:55:57;6.2166;0.0702;0.0;0.6768;223.0011;1.9969;0.9828;0.0;2025-11-12 12:35:54;232.94440972222222
CAMPEIGN-34146;2025-03-27 14:22:53;51.1256;0.6847;0.0;0.1174;166.9996;10.3036;0.6948;0.0;2025-11-12 12:35:53;229.92569444444445
CAMPEIGN-34148;2025-03-27 14:25:52;51.1254;0.6829;0.0;0.0392;165.0555;12.2708;0.7498;0.0;2025-11-12 12:35:52;229.92361111111111
CAMPEIGN-34149;2025-03-27 14:27:40;51.1214;0.682;0.0;0.0309;160.8934;17.1558;0.0388;0.0;2025-11-12 12:35:52;229.92236111111112
CAMPEIGN-34157;2025-03-28 04:17:09;81.9196;0.4467;0.0;0.0084;143.9878;2.7292;0.2545;0.0;2025-11-12 12:35:51;229.34631944444445
CAMPEIGN-34166;2025-03-28 09:00:36;0.0;0.2007;78.98;0.0216;143.93;5.8612;0.156;0.0;2025-11-12 12:35:51;229.14947916666668
CAMPEIGN-34254;2025-03-31 16:02:58;55.2681;0.9576;0.0;0.0076;110.9494;58.0287;0.6448;0.0;2025-11-12 12:35:50;225.8561574074074
CAMPEIGN-34259;2025-03-31 16:38:27;83.1407;0.9336;0.0;0.0039;84.9333;56.8071;0.0129;0.0;2025-11-12 12:35:49;225.83150462962962
CAMPEIGN-34273;2025-04-01 07:53:50;83.1389;0.299;0.0;0.0082;86.9199;54.7565;0.0733;0.0;2025-11-12 12:35:48;225.1958101851852
CAMPEIGN-34317;2025-04-02 05:22:30;48.821;1.448;0.0;0.0136;167.0834;3.3131;0.0423;3.5794;2025-11-12 12:35:48;224.30090277777776
CAMPEIGN-34540;2025-04-09 12:03:23;0.0;8.1961;79.1386;0.0;0.0;8.1472;0.0;121.5406;2025-11-12 12:35:47;217.0225
CAMPEIGN-34612;2025-04-10 19:55:31;48.7512;6.8692;0.0;0.0428;156.2788;3.6604;0.0922;0.0;2025-11-12 12:35:46;215.69461805555557
CAMPEIGN-34673;2025-04-15 08:15:21;0.0;2.9559;84.9215;0.0;0.0;0.6977;0.0;122.6058;2025-11-12 12:35:45;211.18083333333334
CAMPEIGN-34695;2025-04-15 14:56:20;84.2094;2.9596;0.0;0.0429;120.8203;2.7782;0.0919;0.0;2025-11-12 12:35:44;210.9023611111111
CAMPEIGN-34950;2025-04-24 12:16:40;71.9621;0.8494;0.0;0.0482;70.2127;21.0983;26.9499;10.8925;2025-11-12 12:35:42;202.01321759259258
CAMPEIGN-34986;2025-04-25 12:58:43;81.9198;4.7602;0.0;0.0042;86.1544;0.8969;0.0182;27.2304;2025-11-12 12:35:41;200.98400462962962
CAMPEIGN-35010;2025-04-28 13:29:03;83.2334;2.0644;0.0;0.0547;57.7492;17.0807;0.0427;37.738;2025-11-12 12:35:40;197.96292824074075
CAMPEIGN-35025;2025-04-29 07:35:47;0.0;1.3289;79.1401;0.0;0.0;18.6661;0.0;98.073;2025-11-12 12:35:39;197.20824074074073
